codigo;modelo
2429;{'codigo': 2429, 'nome': 'Gol GTi 2.0'}
2430;{'codigo': 2430, 'nome': 'Gol GTi 2000 16V'}
5113;{'codigo': 5113, 'nome': 'Gol I MOTION 1.6 Mi Total Flex 8V 4p'}
2431;{'codigo': 2431, 'nome': 'Gol L 1.3/ L/ LS/ C/ S/ BX/ Plus 1.6'}
10166;{'codigo': 10166, 'nome': 'Gol Last Edition 1.0 Flex 12V 5p'}
3833;{'codigo': 3833, 'nome': 'Gol Plus 1.0 Mi Total Flex 2p'}
3834;{'codigo': 3834, 'nome': 'Gol Plus 1.0 Mi Total Flex 4p'}
6795;{'codigo': 6795, 'nome': 'Gol Rallye 1.6 T. Flex 16V 5p'}
6793;{'codigo': 6793, 'nome': 'Gol Rallye I MOTION 1.6 T. Flex 16V 5p'}
5600;{'codigo': 5600, 'nome': 'Gol Rock in Rio 1.0 Mi Total Flex 8V 5p'}
5220;{'codigo': 5220, 'nome': 'Gol SELEÇÃO 1.0 Mi Total Flex 8V 5p'}
6669;{'codigo': 6669, 'nome': 'Gol SELEÇÃO 1.6 I MOTION T.Flex 8V 5p'}
6670;{'codigo': 6670, 'nome': 'Gol SELEÇÃO 1.6 Total Flex 8V 5p'}
2432;{'codigo': 2432, 'nome': 'Gol Special 1.0 Mi 4p'}
7049;{'codigo': 7049, 'nome': 'Gol Special 1.0 Total Flex 8V 3p'}
7050;{'codigo': 7050, 'nome': 'Gol Special 1.0 Total Flex 8V 5p'}
2433;{'codigo': 2433, 'nome': 'Gol Special 1.6 Mi 8V 99cv 2p'}
2434;{'codigo': 2434, 'nome': 'Gol Special/ Special Xtreme 1.0 Mi 2p'}
4092;{'codigo': 4092, 'nome': 'Gol TECH 1.0 Mi Total Flex 8V 2p'}
4093;{'codigo': 4093, 'nome': 'Gol TECH 1.0 Mi Total Flex 8V 4p'}
6472;{'codigo': 6472, 'nome': 'Gol TRACK 1.0 Mi Total Flex 8V 4p'}
7817;{'codigo': 7817, 'nome': 'Gol TRACK 1.0 Total Flex 12V 5p'}
7638;{'codigo': 7638, 'nome': 'Gol Trendline 1.0 T.Flex 12V 3p'}
7522;{'codigo': 7522, 'nome': 'Gol Trendline 1.0 T.Flex 12V 5p'}
6785;{'codigo': 6785, 'nome': 'Gol Trendline 1.0 T.Flex 8V 3p'}
6786;{'codigo': 6786, 'nome': 'Gol Trendline 1.0 T.Flex 8V 5p'}
6977;{'codigo': 6977, 'nome': 'Gol Trendline 1.6 T.Flex 8V 3p'}
6796;{'codigo': 6796, 'nome': 'Gol Trendline 1.6 T.Flex 8V 5p'}
6976;{'codigo': 6976, 'nome': 'Gol Trendline I Motion 1.6 T. Flex 8V 3p'}
6794;{'codigo': 6794, 'nome': 'Gol Trendline I MOTION 1.6 T. Flex 8V 5p'}
2435;{'codigo': 2435, 'nome': 'Gol TSi 1.8/ 1.8Mi'}
2436;{'codigo': 2436, 'nome': 'Gol TSi 2000 2p e 4p'}
5115;{'codigo': 5115, 'nome': 'Golf  BLACK EDITON 2.0 Mi T. Flex 8V Tip'}
4669;{'codigo': 4669, 'nome': 'Golf  TECH 1.6 Mi Total Flex 8V 4p'}
4006;{'codigo': 4006, 'nome': 'Golf 1.6 Mi Total Flex 8V 4p'}
2437;{'codigo': 2437, 'nome': 'Golf 1.6 Mi Trip/ Sport 101cv 8V'}
2438;{'codigo': 2438, 'nome': 'Golf 1.6Mi/ 1.6Mi Gener./Black & Silver'}
2439;{'codigo': 2439, 'nome': 'Golf 1.8 Mi Sport 150cv Turbo Mec/Aut.'}
2440;{'codigo': 2440, 'nome': 'Golf 2.0/ 2.0 Mi Flex Aut/Tiptronic.'}
2442;{'codigo': 2442, 'nome': 'Golf 2.0/ 2.0 Mi Flex Comfortline Aut.'}
2443;{'codigo': 2443, 'nome': 'Golf 2.0/ 2.0 Mi Flex Comfortline/ Sport'}
2441;{'codigo': 2441, 'nome': 'Golf 2.0/2.0 T. Flex Mec.(Black & Silv)'}
8369;{'codigo': 8369, 'nome': 'Golf Comfort. 200 TSI 1.0 Flex 12V Aut.'}
7781;{'codigo': 7781, 'nome': 'Golf Comfortline 1.0 TSI Total Flex Mec.'}
6797;{'codigo': 6797, 'nome': 'Golf Comfortline 1.4 TSI 140cv Aut.'}
6798;{'codigo': 6798, 'nome': 'Golf Comfortline 1.4 TSI 140cv Mec.'}
7460;{'codigo': 7460, 'nome': 'Golf Comfortline 1.6 MSI Total Flex Aut.'}
7461;{'codigo': 7461, 'nome': 'Golf Comfortline 1.6 MSI Total Flex Mec.'}
3914;{'codigo': 3914, 'nome': 'Golf Flash 1.6 Mi/1.6 Mi Tot. Flex 8V 4p'}
2444;{'codigo': 2444, 'nome': 'Golf GL 1.8/ 2.0i 4p'}
2445;{'codigo': 2445, 'nome': 'Golf GLX 2.0 4p'}
4835;{'codigo': 4835, 'nome': 'Golf GT 2.0 Mi T. Flex 8V 4p Tiptronic'}
4703;{'codigo': 4703, 'nome': 'Golf GT 2.0 Mi Total Flex 8V 4p'}
8943;{'codigo': 8943, 'nome': 'Golf GTE TSI 1.4 16V Híbrido Aut.'}
2446;{'codigo': 2446, 'nome': 'Golf GTi 1.8 Mi 180/193cv Turbo 4p Mec.'}
2447;{'codigo': 2447, 'nome': 'Golf GTi 1.8 Mi 180/193cv Turbo 4p Tip.'}
2448;{'codigo': 2448, 'nome': 'Golf GTi 1.8 Mi 20V 2p Turbo Mec.'}
2449;{'codigo': 2449, 'nome': 'Golf GTi 1.8 Mi 20V Turbo 2p Aut.'}
2450;{'codigo': 2450, 'nome': 'Golf GTi 1.8 Mi 20V Turbo 4p Aut.'}
2451;{'codigo': 2451, 'nome': 'Golf GTi 1.8 Mi 20V Turbo 4p Mec.'}
2452;{'codigo': 2452, 'nome': 'Golf GTI 1.8 Turbo'}
2453;{'codigo': 2453, 'nome': 'Golf GTi 2.0'}
6600;{'codigo': 6600, 'nome': 'Golf GTi 2.0 TSI 220cv Aut.'}
8370;{'codigo': 8370, 'nome': 'Golf GTi 350 TSI 2.0 230cv 16V Aut.'}
2454;{'codigo': 2454, 'nome': 'Golf GTi Cabrio 2.0 Mi'}
2455;{'codigo': 2455, 'nome': 'Golf GTI VR6/ Golf 2.8 VR6'}
6601;{'codigo': 6601, 'nome': 'Golf Highline 1.4 TSI 140cv Aut.'}
