codigo;modelo
760;{'codigo': 760, 'nome': 'F-250 XL 4.2 Turbo Diesel'}
761;{'codigo': 761, 'nome': 'F-250 XL 4.2 V6'}
763;{'codigo': 763, 'nome': 'F-250 XL Super Duty 3.9 Diesel'}
764;{'codigo': 764, 'nome': 'F-250 XL Super Duty 4.2 TB Diesel'}
765;{'codigo': 765, 'nome': 'F-250 XL Super Duty 4.2 V6'}
4058;{'codigo': 4058, 'nome': 'F-250 XLT 3.9 4x2 CD TB Diesel'}
766;{'codigo': 766, 'nome': 'F-250 XLT 3.9 4x2 Diesel TB'}
4059;{'codigo': 4059, 'nome': 'F-250 XLT 3.9 4x4 CD TB Diesel'}
4060;{'codigo': 4060, 'nome': 'F-250 XLT 3.9 4x4 TB Diesel'}
767;{'codigo': 767, 'nome': 'F-250 XLT 4.2 180cv CD TB Diesel'}
768;{'codigo': 768, 'nome': 'F-250 XLT 4.2 TB Diesel'}
769;{'codigo': 769, 'nome': 'F-250 XLT 4.2 V6'}
4135;{'codigo': 4135, 'nome': 'Fiesta 1.0 8V Flex/Class 1.0 8V Flex 5p'}
770;{'codigo': 770, 'nome': 'Fiesta 1.0i 3p e 5p'}
771;{'codigo': 771, 'nome': 'Fiesta 1.3  3p e 5p'}
6422;{'codigo': 6422, 'nome': 'Fiesta 1.5 16V Flex Mec. 5p'}
6423;{'codigo': 6423, 'nome': 'Fiesta 1.6 16V Flex Aut. 5p'}
6424;{'codigo': 6424, 'nome': 'Fiesta 1.6 16V Flex Mec. 5p'}
772;{'codigo': 772, 'nome': 'Fiesta 1.6 8V Flex/Class 1.6 8V Flex 5p'}
773;{'codigo': 773, 'nome': 'Fiesta Class 1.0 2p'}
774;{'codigo': 774, 'nome': 'Fiesta Class 1.0 4p'}
775;{'codigo': 775, 'nome': 'Fiesta Class 1.6 8V 98cv 5p'}
776;{'codigo': 776, 'nome': 'Fiesta CLX 1.3i 3p'}
777;{'codigo': 777, 'nome': 'Fiesta CLX 1.3i 5p'}
778;{'codigo': 778, 'nome': 'Fiesta CLX 1.4i 16V 3p e 5p'}
779;{'codigo': 779, 'nome': 'Fiesta GL 1.0 3p'}
780;{'codigo': 780, 'nome': 'Fiesta GL 1.0 5p'}
781;{'codigo': 781, 'nome': 'Fiesta GL Class 1.0i 5p'}
782;{'codigo': 782, 'nome': 'Fiesta GLX 1.6 8V 3p'}
783;{'codigo': 783, 'nome': 'Fiesta GLX 1.6 8V 5p'}
784;{'codigo': 784, 'nome': 'Fiesta Personnalité 1.0 8V 66cv 5p'}
6425;{'codigo': 6425, 'nome': 'Fiesta S 1.0 8V Flex 5p'}
6426;{'codigo': 6426, 'nome': 'Fiesta SE 1.0 8V Flex 5p'}
