codigo;nome;id
828;Mondeo CLX 2.0i SW Aut;22
829;Mondeo CLX 2.0i SW Mec;22
830;Mondeo Ghia 2.0 16V 143cv 4p Aut;22
831;Mondeo Ghia 2.0 16V 143cv 4p Mec;22
832;Mondeo Ghia 2.5 V6 Aut;22
833;Mondeo Ghia 2.5 V6 Mec;22
834;Mondeo GLX 2.0 16V 4p Aut;22
835;Mondeo GLX 2.0 4p e 5p;22
836;Mondeo GLX 2.0i SW Mec./ Aut.;22
837;Mustang 3.8 V6;22
838;Mustang 3.8 V6 Conv.;22
8987;Mustang Black Shadow 5.0 V8;22
839;Mustang Cobra 5.7 V8;22
8238;Mustang GT Premium 5.0 V8;22
840;Mustang GT V8;22
841;Mustang GT V8 Conversível;22
9354;Mustang MACH 1 5.0 V8;22
10868;Mustang Mach-E GT Performance (Elétrico);22
842;Pampa 4x4 Jeep GL / L 1.6;22
843;Pampa Ghia 1.6/1.8/DUO;22
844;Pampa GL 1.6/ 1.8;22
845;Pampa L 1.6;22
846;Pampa L 1.8i / 1.8;22
847;Pampa S 1.8;22
848;Probe 2.0/2.2;22
849;Probe GT 2.5 V6;22
850;Ranger 2.5 4x2 CD TB Diesel;22
851;Ranger 2.5 4x2 CE Diesel;22
852;Ranger 2.5 4x2 TB Diesel;22
853;Ranger 2.5 4x4 CD TB Diesel;22
854;Ranger 2.5 4x4 CE TB Diesel;22
855;Ranger 2.5 4x4 TB Diesel;22
856;Ranger 2.5i CD;22
857;Ranger 2.5i CE;22
858;Ranger 2.5i CS;22
9359;Ranger Black 2.2 4x2 CD Diesel Aut.;22
9772;Ranger FX4 3.2 20V 4x4 CD Diesel Aut.;22
4998;Ranger Limited 2.3 150cv CD;22
6163;Ranger Limited 2.5 16V 4x2 CD Flex;22
859;Ranger Limited 3.0 PSE 4x4 CD TB Diesel;22
10761;Ranger Limited 3.0 V6 4x4 CD TB Die. Aut;22
10741;Ranger Limited 3.2 4x4 CD Diesel Aut.;22
10762;Ranger Limited+ 3.0 V6 4x4 CD TB Die Aut;22
10891;Ranger Raptor 3.0 V6 Bi-Turbo 4WD AUT.;22
860;Ranger Splash CE;22
861;Ranger Splash CS;22
6746;Ranger SPORT 2.5 Flex 16V 4x2 CS;22
8079;Ranger SPORTRAC 2.2 16V 4x4 CD Dies Aut.;22
9080;Ranger Storm 3.2 20V 4x4 CD Diesel Aut.;22
862;Ranger STX 4.0 CS/ CE;22
6525;Ranger TROPICAB 2.5 16V 4X2 Flex;22
6526;Ranger TROPICAB 3.2 20V 4X4 TB Diesel;22
6527;Ranger TROPIVAN 2.5 16V 4X2 Flex;22
6528;Ranger TROPIVAN 3.2 20V 4X4 TB Dies.Aut.;22
6529;Ranger TROPIVAN 3.2 20V 4X4 TB Diesel;22
5365;Ranger TROPIVAN XLT 2.3 16V 150cv;22
5366;Ranger TROPIVAN XLT 3.0 PSE 4x2 TB Dies.;22
5367;Ranger TROPIVAN XLT 3.0 PSE 4x4 TB Dies.;22
10828;Ranger XL 2.0 4x4 CD Diesel Mec. ;22
7688;Ranger XL 2.2 4x4 CD Diesel Mec.;22
7882;Ranger XL 2.2 4x4 CS Diesel Mec.;22
863;Ranger XL 2.3 16v 137cv 4x2 CD Repower.;22
864;Ranger XL 2.3 16v 137cv 4x2 CE Repower.;22
865;Ranger XL 2.3 16v 137cv 4x2 CS Repower.;22
866;Ranger XL 2.3 CS;22
867;Ranger XL 2.8 8v 135cv 4x2 CD TB Diesel;22
868;Ranger XL 2.8 8v 135cv 4x2 CE TB Diesel;22
869;Ranger XL 2.8 8v 135cv 4x2 CS TB Diesel;22
870;Ranger XL 2.8 8v 135cv 4x4 CD TB Diesel;22
871;Ranger XL 2.8 8v 135cv 4x4 CE TB Diesel;22
872;Ranger XL 2.8 8v 135cv 4x4 CS TB Diesel;22
3814;Ranger XL 3.0 PSE 163cv 4x2 CD TB Diesel;22
3815;Ranger XL 3.0 PSE 163cv 4x2 CS TB Diesel;22
3816;Ranger XL 3.0 PSE 163cv 4x4 CD TB Diesel;22
3817;Ranger XL 3.0 PSE 163cv 4x4 CS TB Diesel;22
873;Ranger XL 4.0 12v V6 210cv 4x2 CS Repow.;22
874;Ranger XL 4.0 CS;22
10829;Ranger XLS 2.0 4x2 CD Diesel Aut. ;22
10830;Ranger XLS 2.0 4x4 CD Diesel Aut. ;22
