;id;municipio;estado;regiao;uf;data
9883;260620015;Goiana;Pernambuco;Nordeste;PE;2024-02-04 15:58:33
9884;231335105;Tejuçuoca;Ceará;Nordeste;CE;2024-02-04 15:58:33
9885;355420105;Tejupá;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9886;412710605;Telêmaco Borba;Paraná;Sul;PR;2024-02-04 15:58:33
9887;280730305;Telha;Sergipe;Nordeste;SE;2024-02-04 15:58:33
9888;241410005;Tenente Ananias;Rio Grande do Norte;Nordeste;RN;2024-02-04 15:58:33
9889;241415905;Tenente Laurentino Cruz;Rio Grande do Norte;Nordeste;RN;2024-02-04 15:58:33
9890;432140205;Tenente Portela;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9891;251675505;Tenório;Paraíba;Nordeste;PB;2024-02-04 15:58:33
9892;293140005;Teodoro Sampaio;Bahia;Nordeste;BA;2024-02-04 15:58:33
9893;355430005;Teodoro Sampaio;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9894;293150905;Teofilândia;Bahia;Nordeste;BA;2024-02-04 15:58:33
9895;316860605;Teófilo Otoni;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9896;293160805;Teolândia;Bahia;Nordeste;BA;2024-02-04 15:58:33
9897;270915205;Teotônio Vilela;Alagoas;Nordeste;AL;2024-02-04 15:58:33
9898;431460515;Piratini;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9899;430450725;Canguçu;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9900;500800805;Terenos;Mato Grosso do Sul;Centro-Oeste;MS;2024-02-04 15:58:33
9901;221100105;Teresina;Piauí;Nordeste;PI;2024-02-04 15:58:33
9902;522108005;Teresina de Goiás;Goiás;Centro-Oeste;GO;2024-02-04 15:58:33
9903;330580205;Teresópolis;Rio de Janeiro;Sudeste;RJ;2024-02-04 15:58:33
9904;410250525;Barbosa Ferraz;Paraná;Sul;PR;2024-02-04 15:58:33
9905;410440210;Cândido de Abreu;Paraná;Sul;PR;2024-02-04 15:58:33
9906;261510205;Terezinha;Pernambuco;Nordeste;PE;2024-02-04 15:58:33
9907;522119705;Terezópolis de Goiás;Goiás;Centro-Oeste;GO;2024-02-04 15:58:33
9908;351940225;Ibirá;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9909;150796105;Terra Alta;Pará;Norte;PA;2024-02-04 15:58:33
9910;110034630;Alvorada D'Oeste;Rondônia;Norte;RO;2024-02-04 15:58:33
9911;412720505;Terra Boa;Paraná;Sul;PR;2024-02-04 15:58:33
9912;310730725;Bocaiúva;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9913;432143605;Terra de Areia;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9914;412470715;São Jerônimo da Serra;Paraná;Sul;PR;2024-02-04 15:58:33
9915;293170705;Terra Nova;Bahia;Nordeste;BA;2024-02-04 15:58:33
9916;261520105;Terra Nova;Pernambuco;Nordeste;PE;2024-02-04 15:58:33
9917;510805505;Terra Nova do Norte;Mato Grosso;Centro-Oeste;MT;2024-02-04 15:58:33
9918;354710610;Santa Mercedes;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9919;352850215;Mairiporã;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9920;412730405;Terra Rica;Paraná;Sul;PR;2024-02-04 15:58:33
9921;412740305;Terra Roxa;Paraná;Sul;PR;2024-02-04 15:58:33
9922;355440905;Terra Roxa;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9923;510515030;Juína;Mato Grosso;Centro-Oeste;MT;2024-02-04 15:58:33
9924;150797905;Terra Santa;Pará;Norte;PA;2024-02-04 15:58:33
9925;430530625;Chapada;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9926;510810505;Tesouro;Mato Grosso;Centro-Oeste;MT;2024-02-04 15:58:33
9927;432145105;Teutônia;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9928;110160905;Theobroma;Rondônia;Norte;RO;2024-02-04 15:58:33
9929;231340105;Tianguá;Ceará;Nordeste;CE;2024-02-04 15:58:33
9930;431830920;São Gabriel;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9931;412750205;Tibagi;Paraná;Sul;PR;2024-02-04 15:58:33
9932;241105605;Tibau;Rio Grande do Norte;Nordeste;RN;2024-02-04 15:58:33
9933;241420905;Tibau do Sul;Rio Grande do Norte;Nordeste;RN;2024-02-04 15:58:33
9934;350600310;Bauru;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9935;353880825;Piraju;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9936;355450805;Tietê;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9937;421795605;Tigrinhos;Santa Catarina;Sul;SC;2024-02-04 15:58:33
9938;421630510;São João Batista;Santa Catarina;Sul;SC;2024-02-04 15:58:33
9939;150170930;Bragança;Pará;Norte;PA;2024-02-04 15:58:33
9940;293010525;Senhor do Bonfim;Bahia;Nordeste;BA;2024-02-04 15:58:33
9941;421800405;Tijucas;Santa Catarina;Sul;SC;2024-02-04 15:58:33
9942;412760105;Tijucas do Sul;Paraná;Sul;PR;2024-02-04 15:58:33
9943;261530005;Timbaúba;Pernambuco;Nordeste;PE;2024-02-04 15:58:33
9944;231180125;Russas;Ceará;Nordeste;CE;2024-02-04 15:58:33
9945;241430805;Timbaúba dos Batistas;Rio Grande do Norte;Nordeste;RN;2024-02-04 15:58:33
9946;230395635;Chorozinho;Ceará;Nordeste;CE;2024-02-04 15:58:33
9947;430250115;Bossoroca;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9948;421810305;Timbé do Sul;Santa Catarina;Sul;SC;2024-02-04 15:58:33
9949;211210005;Timbiras;Maranhão;Nordeste;MA;2024-02-04 15:58:33
9950;250730910;Jacaraú;Paraíba;Nordeste;PB;2024-02-04 15:58:33
9951;421820205;Timbó;Santa Catarina;Sul;SC;2024-02-04 15:58:33
9952;421825105;Timbó Grande;Santa Catarina;Sul;SC;2024-02-04 15:58:33
9953;150500710;Nova Timboteua;Pará;Norte;PA;2024-02-04 15:58:33
9954;320220715;Fundão;Espírito Santo;Sudeste;ES;2024-02-04 15:58:33
9955;355460705;Timburi;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9956;211220905;Timon;Maranhão;Nordeste;MA;2024-02-04 15:58:33
9957;230470735;Granja;Ceará;Nordeste;CE;2024-02-04 15:58:33
9958;260530115;Exu;Pernambuco;Nordeste;PE;2024-02-04 15:58:33
9959;316870505;Timóteo;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9960;432146905;Tio Hugo;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9961;230170315;Aurora;Ceará;Nordeste;CE;2024-02-04 15:58:33
9962;310470030;Ataléia;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9963;291080040;Feira de Santana;Bahia;Nordeste;BA;2024-02-04 15:58:33
9964;412280020;Salgado Filho;Paraná;Sul;PR;2024-02-04 15:58:33
9965;316880405;Tiradentes;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9966;432147705;Tiradentes do Sul;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9967;316890305;Tiros;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9968;312950915;Ibiá;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9969;280740205;Tobias Barreto;Sergipe;Nordeste;SE;2024-02-04 15:58:33
9970;315220425;Porteirinha;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9971;172110905;Tocantínia;Tocantins;Norte;TO;2024-02-04 15:58:33
9972;172120805;Tocantinópolis;Tocantins;Norte;TO;2024-02-04 15:58:33
9973;316900005;Tocantins;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9974;312650530;Francisco Badaró;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9975;330100975;Campos dos Goytacazes;Rio de Janeiro;Sudeste;RJ;2024-02-04 15:58:33
9976;316905905;Tocos do Moji;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9977;320240515;Guarapari;Espírito Santo;Sudeste;ES;2024-02-04 15:58:33
9978;316910905;Toledo;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9979;412770005;Toledo;Paraná;Sul;PR;2024-02-04 15:58:33
9980;280750105;Tomar do Geru;Sergipe;Nordeste;SE;2024-02-04 15:58:33
9981;312090420;Curvelo;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9982;412780905;Tomazina;Paraná;Sul;PR;2024-02-04 15:58:33
9983;312100130;Datas;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9984;316920805;Tombos;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9985;352170508;Itaberá;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9986;231150420;Quixeré;Ceará;Nordeste;CE;2024-02-04 15:58:33
9987;230427725;Ereré;Ceará;Nordeste;CE;2024-02-04 15:58:33
9988;150800105;Tomé-Açu;Pará;Norte;PA;2024-02-04 15:58:33
9989;130423705;Tonantins;Amazonas;Norte;AM;2024-02-04 15:58:33
9990;316860625;Teófilo Otoni;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9991;510180330;Barra do Garças;Mato Grosso;Centro-Oeste;MT;2024-02-04 15:58:33
9992;261540905;Toritama;Pernambuco;Nordeste;PE;2024-02-04 15:58:33
9993;510820405;Torixoréu;Mato Grosso;Centro-Oeste;MT;2024-02-04 15:58:33
9994;314710525;Pará de Minas;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9995;432149305;Toropi;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9996;431810120;São Francisco de Assis;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9997;430660110;Dom Pedrito;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9998;355465605;Torre de Pedra;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9999;313670280;Juiz de Fora;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
10000;432150105;Torres;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
10001;150210336;Cametá;Pará;Norte;PA;2024-02-04 15:58:33
10002;355470605;Torrinha;São Paulo;Sudeste;SP;2024-02-04 15:58:33
10003;431450620;Pinheiro Machado;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
10004;230565425;Ipaporanga;Ceará;Nordeste;CE;2024-02-04 15:58:33
10005;431640230;Rosário do Sul;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
10006;241440705;Touros;Rio Grande do Norte;Nordeste;RN;2024-02-04 15:58:33
10007;355475505;Trabiju;São Paulo;Sudeste;SP;2024-02-04 15:58:33
10008;130340325;Parintins;Amazonas;Norte;AM;2024-02-04 15:58:33
10009;150803505;Tracuateua;Pará;Norte;PA;2024-02-04 15:58:33
10010;261550805;Tracunhaém;Pernambuco;Nordeste;PE;2024-02-04 15:58:33
10011;270920205;Traipu;Alagoas;Nordeste;AL;2024-02-04 15:58:33
10012;150805005;Trairão;Pará;Norte;PA;2024-02-04 15:58:33
10013;240710415;Macaíba;Rio Grande do Norte;Nordeste;RN;2024-02-04 15:58:33
10014;231350005;Trairi;Ceará;Nordeste;CE;2024-02-04 15:58:33
10015;241400110;Tangará;Rio Grande do Norte;Nordeste;RN;2024-02-04 15:58:33
10016;330590105;Trajano de Moraes;Rio de Janeiro;Sudeste;RJ;2024-02-04 15:58:33
10017;521560325;Padre Bernardo;Goiás;Centro-Oeste;GO;2024-02-04 15:58:33
10018;432160005;Tramandaí;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
10019;292530320;Porto Seguro;Bahia;Nordeste;BA;2024-02-04 15:58:33
10020;291720130;Ituaçu;Bahia;Nordeste;BA;2024-02-04 15:58:33
10021;230560545;Independência;Ceará;Nordeste;CE;2024-02-04 15:58:33
10022;230435025;Forquilha;Ceará;Nordeste;CE;2024-02-04 15:58:33
10023;231220545;Santa Quitéria;Ceará;Nordeste;CE;2024-02-04 15:58:33
10024;261170515;Riacho das Almas;Pernambuco;Nordeste;PE;2024-02-04 15:58:33
10025;330100980;Campos dos Goytacazes;Rio de Janeiro;Sudeste;RJ;2024-02-04 15:58:33
10026;316110640;São Francisco;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
10027;432162605;Travesseiro;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
10028;150170940;Bragança;Pará;Norte;PA;2024-02-04 15:58:33
10029;293180605;Tremedal;Bahia;Nordeste;BA;2024-02-04 15:58:33
10030;355480505;Tremembé;São Paulo;Sudeste;SP;2024-02-04 15:58:33
10031;355030881;São Paulo;São Paulo;Sudeste;SP;2024-02-04 15:58:33
10032;431085020;Jaboticaba;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
10033;353010215;Mirandópolis;São Paulo;Sudeste;SP;2024-02-04 15:58:33
10034;432163405;Três Arroios;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
10035;430090125;Aratiba;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
10036;421830105;Três Barras;Santa Catarina;Sul;SC;2024-02-04 15:58:33
10037;316710330;Serro;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
10038;311750450;Conceição do Mato Dentro;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
10039;412785805;Três Barras do Paraná;Paraná;Sul;PR;2024-02-04 15:58:33
10040;410440215;Cândido de Abreu;Paraná;Sul;PR;2024-02-04 15:58:33
10041;432166705;Três Cachoeiras;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
